Автор,Название книги,Тип,Год озвучки,Хроно,Сборник,не трогать!!! Только для редактора,Ссылка на работу в Вконтакте
КИНГ СТИВЕН,1408,рассказ,2009,2:02:49,,47397685,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,1922,повесть,2014,6:07:23,,47397226,Ссылка на работу в вКонтакте
ХЕНСЛИ ДЖО Л.,...И не совсем люди,рассказ,2010,0:23:05,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,...Delenda Est,рассказ,2014,0:19:34,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,13 часов,рассказ,2017,0:14:12,Павел К. Диброва - Рассказы,49714485,Ссылка на работу в вКонтакте
НИКИФОРОВ ЮРИЙ,9 аудио-секретов успешного бизнеса!,блог,2016,2:21:51,,48630116,Ссылка на работу в вКонтакте
КЛАРК АРТУР,Девять миллиардов имён Бога,рассказ,2015,0:17:42,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
РАССЕЛ ЭРИК ФРЭНК,Абракадабра,рассказ,2019,0:40:48,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Автобус - это другой мир,рассказ,2014,0:21:26,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
МАТЕСОН РИЧАРД,Адский дом,роман,2017,9:58:50,,47401390,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Азирлар,рассказ,2015,0:11:22,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Алхимик,рассказ,2008,0:27:19,Тёмные аллеи №05,47402761,Ссылка на работу в вКонтакте
СЕМЯШКИН АЛЕКСЕЙ,Альтернатива,рассказ,2011,0:12:53,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
ПАВЛОВ СЕРГЕЙ,"Амазония, ярданг восточный",рассказ,2011,1:06:38,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Американец и скинхед,рассказ,2017,0:06:26,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
ПАРФЕНОВ М.С.,Ампутация,рассказ,2007,0:12:06,Тёмные аллеи №01,47402705,Ссылка на работу в вКонтакте
СЫРЦОВА АННА,Аналог,рассказ,2011,0:19:39,Тёмные аллеи №19,47403053,Ссылка на работу в вКонтакте
БУЛАТНИКОВА ДАРЬЯ,"Ангел Ди, или Я люблю Смерть",рассказ,2011,0:29:14,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
АНДРЕЕВ ЛЕОНИД,Ангелочек,рассказ,2017,0:32:10,,47397697,Ссылка на работу в вКонтакте
МАСТЕРТОН ГРЭМ,Анти-Клаус,рассказ,2016,0:55:09,Пять вечеров 1: В снегах,50793544,Ссылка на работу в вКонтакте
ВЕЛКОРД АРТЁМ,Аргентинец,рассказ,2009,0:15:55,Велкорд Артём - Рассказы,47403558,Ссылка на работу в вКонтакте
БРАУН ФРЕДЕРИК,Армагеддон,рассказ,2016,0:13:21,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ДАШУК АЛЁНА,Аскет,рассказ,2011,0:36:47,Тёмные аллеи №19,47403053,Ссылка на работу в вКонтакте
БУДНИЦКИЙ ЯКОВ,Аттракцион,рассказ,2009,0:26:52,Тёмные аллеи №07,47402805,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Аяна,рассказ,2014,0:41:25,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Бабуля,рассказ,2015,1:28:06,Команда скелетов,49866622,Ссылка на работу в вКонтакте
КОВАЛЬ-СУХОРУКОВА ЛАРИСА,Бал хризантем,рассказ,2009,0:05:01,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Баллада о гибкой пуле,рассказ,2009,2:25:05,Команда скелетов,49866622,Ссылка на работу в вКонтакте
